lab proto group dose1 dose2 body wet blot
ChungKorea A  5  0.10  0.00   49.50   70.00   68.50
ChungKorea A  5  0.10  0.00   48.90   51.90   49.00
ChungKorea A  5  0.10  0.00   47.40   37.50   34.70
ChungKorea A  5  0.10  0.00   56.40   68.00   64.70
ChungKorea A  5  0.10  0.00   50.60   62.50   59.50
ChungKorea A  6  0.30  0.00   47.40   59.60   57.30
ChungKorea A  6  0.30  0.00   45.20   56.30   54.80
ChungKorea A  6  0.30  0.00   57.00   59.30   56.50
ChungKorea A  6  0.30  0.00   44.10   51.90   49.90
ChungKorea A  6  0.30  0.00   43.60   53.60   51.30
ChungKorea A  6  0.30  0.00   44.20   63.90   61.80
ChungKorea A  7  1.00  0.00   52.70   81.00   79.40
ChungKorea A  7  1.00  0.00   51.20   64.10   62.00
ChungKorea A  7  1.00  0.00   45.80   76.90   73.40
ChungKorea A  7  1.00  0.00   44.80   87.10   83.30
ChungKorea A  7  1.00  0.00   48.80   84.30   81.00
ChungKorea A  7  1.00  0.00   42.20   73.80   70.40
ChungKorea A  8  3.00  0.00   54.40  127.70  117.40
ChungKorea A  8  3.00  0.00   49.10  172.90  127.70
ChungKorea A  8  3.00  0.00   55.30  152.00  129.20
ChungKorea A  8  3.00  0.00   51.30  206.60  163.60
ChungKorea A  8  3.00  0.00   52.80  121.50   89.70
ChungKorea A  8  3.00  0.00   47.40  110.50   91.40
ChungKorea A  9 10.00  0.00   46.00  227.60  139.40
ChungKorea A  9 10.00  0.00   47.60  218.70  116.40
ChungKorea A  9 10.00  0.00   43.60  176.80  106.90
ChungKorea A  9 10.00  0.00   48.70  183.00  132.00
ChungKorea A  9 10.00  0.00   54.00  169.80   97.80
ChungKorea A  9 10.00  0.00   45.10  198.40  132.80
ChungKorea A 10  3.00  0.10   50.20  211.40  127.50
ChungKorea A 10  3.00  0.10   43.40  213.30  124.50
ChungKorea A 10  3.00  0.10   48.20  186.00  141.40
ChungKorea A 10  3.00  0.10   40.20  171.30  108.00
ChungKorea A 10  3.00  0.10   50.60  124.00  112.40
ChungKorea A 10  3.00  0.10   56.90  115.20  104.70
ChungKorea A 11  3.00  1.00   48.60  102.30   96.60
ChungKorea A 11  3.00  1.00   51.60  102.50   97.50
ChungKorea A 11  3.00  1.00   36.00   73.10   68.00
ChungKorea A 11  3.00  1.00   48.20  100.90   80.30
ChungKorea A 11  3.00  1.00   53.40   89.30   85.80
ChungKorea A 11  3.00  1.00   51.30   80.40   75.30
ChungKorea B  1  0.00  0.00   45.30   34.50   31.60
ChungKorea B  1  0.00  0.00   43.80   29.30   27.90
ChungKorea B  1  0.00  0.00   47.60   33.70   31.70
ChungKorea B  1  0.00  0.00   44.30   22.80   20.70
ChungKorea B  1  0.00  0.00   51.70   44.30   41.10
ChungKorea B  1  0.00  0.00   52.20   37.50   35.30
ChungKorea B  2  0.00  0.00   47.20   49.20   45.70
ChungKorea B  2  0.00  0.00   45.00   40.80   38.60
ChungKorea B  2  0.00  0.00   46.40   33.20   29.50
ChungKorea B  2  0.00  0.00   48.70   41.10   37.30
ChungKorea B  2  0.00  0.00   47.20   34.30   30.10
ChungKorea B  2  0.00  0.00   53.50   36.60   33.40
ChungKorea B  3  0.01  0.00   40.30   24.80   23.00
ChungKorea B  3  0.01  0.00   44.90   27.50   25.50
ChungKorea B  3  0.01  0.00   48.50   45.50   31.10
ChungKorea B  3  0.01  0.00   40.70   45.30   52.20
ChungKorea B  3  0.01  0.00   50.30   36.00   32.80
ChungKorea B  3  0.01  0.00   49.50   38.50   36.10
ChungKorea B  4  0.03  0.00   41.90   47.30   44.10
ChungKorea B  4  0.03  0.00   47.90   47.20   44.90
ChungKorea B  4  0.03  0.00   46.60   61.60   57.60
ChungKorea B  4  0.03  0.00   49.50   50.40   46.00
ChungKorea B  4  0.03  0.00   55.20   67.60   64.70
ChungKorea B  4  0.03  0.00   46.80   51.00   48.40
ChungKorea B  5  0.10  0.00   42.70   68.30   65.20
ChungKorea B  5  0.10  0.00   49.90  101.60   91.20
ChungKorea B  5  0.10  0.00   40.90   75.40   69.60
ChungKorea B  5  0.10  0.00   44.50   75.10   71.30
ChungKorea B  5  0.10  0.00   52.80  140.20  106.40
ChungKorea B  5  0.10  0.00   53.10  119.70  102.10
ChungKorea B  6  0.30  0.00   44.40  141.80  124.80
ChungKorea B  6  0.30  0.00   41.30  132.90  107.80
ChungKorea B  6  0.30  0.00   45.10  137.00  128.90
ChungKorea B  6  0.30  0.00   37.70  106.20   82.50
ChungKorea B  6  0.30  0.00   51.40  108.70   86.40
ChungKorea B  6  0.30  0.00   56.60  196.90  151.60
ChungKorea B  7  1.00  0.00   44.20  236.50  135.20
ChungKorea B  7  1.00  0.00   45.20  264.00  143.10
ChungKorea B  7  1.00  0.00   41.80  117.60  109.30
ChungKorea B  7  1.00  0.00   47.40  264.30  155.80
ChungKorea B  7  1.00  0.00   53.10  319.90  158.20
ChungKorea B  7  1.00  0.00   49.40  154.50  118.00
ChungKorea B  8  3.00  0.00   41.70  252.90  123.00
ChungKorea B  8  3.00  0.00   41.30  244.80  119.00
ChungKorea B  8  3.00  0.00   48.50  282.50  173.50
ChungKorea B  8  3.00  0.00   46.90  309.30  138.80
ChungKorea B  8  3.00  0.00   52.10  278.00  142.40
ChungKorea B  8  3.00  0.00   49.20  265.60  154.30
ChungKorea B  9 10.00  0.00   42.60  260.80  113.70
ChungKorea B  9 10.00  0.00   43.40  272.30  120.90
ChungKorea B  9 10.00  0.00   47.80  295.00  115.40
ChungKorea B  9 10.00  0.00   36.50   95.60   82.50
ChungKorea B  9 10.00  0.00   50.90  288.10  130.10
ChungKorea B  9 10.00  0.00   52.00  326.80  145.80
ChungKorea B 10  3.00  0.10   43.40  131.70   93.40
ChungKorea B 10  3.00  0.10   46.40   69.80   64.70
ChungKorea B 10  3.00  0.10   52.70  186.00  121.80
